speaker_id,sex,accent,age,n_total,n_kept
8efadf989d3ad6ea5165b64bf021c1b6eb08f99d7781f308929bc67a2e748923fdb1446cb9c11237b5ab09e33b073b6d8dc81aa1de9c32637a51a4c26579c66a,male_masculine,,twenties,15,15
781d60023bd16480b54d2b16791e1dd7d496206e3bc81a91e82b83558b6bd910ee70afe4723358acfd99fe5be98a811328b897d20b57ff8380731895ed711b43,female_feminine,United States English,twenties,35,30
acb50eda793a4c57ec50626b37c3c11a686697d4678f3cb81b247fab9c02b5ebb9279638c9a8ce453f1dcb12e8384e0b64ff322b481b7ecdf99d719078ee4512,male_masculine,,twenties,14,14
bddbe878ccece9192015412e01c912f20ef3f2de70cc0f986daedfde3ed29730e6e61355d52077ba9156dd9be45579afb444b4631711e3832966f3502b9119a3,male_masculine,Scottish English,fourties,46,30
6e1f0efeaee7d1674d13d7681b76bbf462f696fe131a70f7ce9f328928fe0b8300cd8ad80cc9340455e4d4c1861b01dcb2b3e0940aaba635ef259a55b4262bc5,,,twenties,245,30
d4e591b347d7705034b844ccc668be0368b5e352ae553a75f4e44d9651b5fe8f57e291a5eec19f60e0d2b227ced5029974634bb172352e95b8cb56ffca59e41f,female_feminine,United States English,twenties,85,30
ab43bbde8dd98948b7e6b8393d966519e92744fd96172349c9d20cd1247a67a9e41415818b1ab8f0c456d23244cf15a1188a078707b96a3a8476783890c4a42f,female_feminine,"Southern African (South Africa, Zimbabwe, Namibia)",thirties,1152,30
b94e2e771178b8201f5058eb15bab83231aaa0c9a21d0e18ac59b14e8b98499bc4875bfcf3478bc38d49ff850f4245db12dd78258e4e9542cb9f18f42cea4758,female_feminine,England English,twenties,51,30
27ba59fbd95e2ed09876da1bf896f8f96590da68b30bfd5f0d67e59f7bce89cb58c6c0a9d435e51e901ae253905df796f3c34f897b1fdf415996189021a23bd7,male_masculine,,fifties,34,30
c0e7070c60e261a9567298aa284b203a0506a74bf0dac1ebb0e779817f324580bac65e94235a7217ebb5e9e3ec62d900a86bf9dd3fa913c391247a2fba90c34b,,,,16,16
e44b08b14987a8824cac489d7e0266999bbb714539bf3976d9764273c58e1f47cdc6ff9c44068f058ea17712808b21712667a9556f577030c0d599251e15cd7c,,,,11,11
cbeae2c03dab0460ad75b3d4233ee944e95534f0feacbd491d4356ad0c98b8cd9d159b69b9e9aa6db2e237cb1762c1092c44c7890fa0e9200f61173e90c7b5f7,male_masculine,,twenties,131,30
5ac57bbeb07c32519442ea33d65a3e917e4d0b3e342d870171c571f97001e080bc40856363c7b87bb8c12afbe45be4b116c0816f97b2eac707bb27fe50a4ca74,,,,12,12
63a4e47b6d3cfd98330c334e868d3c41685834cfec2c5c38865472410ca2fe8e204cf0758be426b09c7785bddf1354610f63dd1d2ef4e4eac6e23e1455235417,female_feminine,"India and South Asia (India, Pakistan, Sri Lanka)",twenties,323,30
c09a636a7a50c3f5272a8f094aac345f8f49c357acbd77ba59267d9b9014452542020c471a824733e54d4f80abead0ba553e914b8fd068884d7a20a62fedba8f,,,,54,30
703bbbe4832fd43372c38f728ece0d73e5a236ee75dc84e98c85754e83e2cac7cb6abd8191f0979124d0ba7b4edc11ca6eeea04668f6394c610da1c43ee3526f,female_feminine,United States English,twenties,19,19
a1e7fcc70c9f31b6eb8e9bbfcc7d0fa322f45bcf0c1d2201fe29a4018aa231027f4477263a3686dc59ea3ce1bf0dcfbdeaf5f5383fba83ea71f0fa129fe03de5,female_feminine,,sixties,38,30
fcffb37fddeaa6cbdda86f7d25e57e69c00d260fc22caae90b91c1b7b818a12e26e77c8ebe42dd53b76031a9662564f17ca23ef8ae743fc3aefc9da6bf182acd,male_masculine,Singaporean English,teens,226,30
f4515060e7f480a24c0778e8f3d5d1d286ed616552851a6c3c9c6aee7303d249fbffd910c70869b7620fc33b38c8b618b934eeea78ef4cde3c1be1566b44501e,male_masculine,United States English,twenties,442,30
dd19cf19ebf1de1608fc82002902a7b5ed3d6a661aee43fb7ead0ecd4d91ab28d9f4898c0ae0db469b9988981a46f5f23d72487587d043bfdace9bf9043329c5,,,,41,30
b945bb532519b19e7981a32662629c70f8a84f637ac59859aa83ffcf5d5c30b594143546d8ae35ccb24c5ad78158ee4dd81cb7ab72054035eca20e208aeaf2eb,female_feminine,United States English,twenties,68,30
c4215a63594a310a1f1003e4cc4a990ad4c7475e8cb46582a77860e27dc59993062e0d817ccd56b5eea9c8f436b1ab5140e7b4a616264571c5836dfd87080ca9,male_masculine,United States English,twenties,930,30
726fa8b0d014207213a45e30df4326fcb4409aa39613bfdd7838aced84e9f279f1260588a9a197c4ecc08ba4053a4ffd9a662c17085f16822fb3fb898b6fc3a9,,,,8,8
6da09a0f14894079b9496cc78fbc5f8b636c58169a3cdade4941a2da73d3907e99c8e9682e45bb3cb58b2e15c904bd1d1827915dca2436ff77b4ad540cfdcd81,male_masculine,,twenties,87,30
0eca8b7df607c816e2d9c8d2f31af04333d02214b0f5ff3f09d33739ccfcfd5cbab27556be3c01c8283fbfabfb20e3a7cbf3c68b2c486b91080bcc26e49456cb,male_masculine,United States English,fourties,31,30
e0b7d7e4c71c7950805d23c4619f67d03166136ad4a186cee47fb91ad6d107ba7042b734e7d03ea8153c9d72b79333546dbc98e85408b608e5ef88fbae567294,female_feminine,United States English,twenties,177,30
57d9be2eeda5fbaad0290c45f4e95813da95e09633d5fd84df35a758151788abec644a351cdf610c7b792561d1db0ac6f122dbc94404646941967bd6f0befd44,female_feminine,,sixties,1584,30
2f01ce38fb3ac6b52823bafd014c82bb82c303a837db269cca86bef9ce0e1f74cfc3a8676861fd21577c39df2932923a057c8bd6e812cba7d852ee65d6665e26,female_feminine,,thirties,10,10
e41e9898f548549318f268f4966ad9ecc71b6e436bd95b008133f679e3679b2f7a853f6b4a4fcd0072bc7853caffbf4e2edb193c12f96568c70c2147888f670b,,,,21,21
95374f4f0281ce754ec20477f0fb494597129dcbd84a71b9840512f16624ca875a5d182e2d11413d3344e7cfc09432596ca9a53c1de30ea445daae342c2d251f,,,,469,30
c7fa9b2502b716b516b076ca89ff79e29d183ac0c006ce10ce33b61b0cd08542049535c83a89ff71168375d4a3bbbca2bcc25ecf5cc5f0653563862b73121cd2,male_masculine,,twenties,613,30
d7b8bd57a847b9f6a92eb975f2fe0a8686ee95a9e71b0168d5ee36090c94b373186a93d864491807465a14b0cb0cd867c6a52509095f73cb3c58490f0fb7f149,male_masculine,England English,thirties,1946,30
cd1c723c6a46d6ef07b5f482ffa3373a329e25e2cbdcb3265d922c2870961f16e1460a87f7eafc046c5a45c3d28599c6c06022575e7dc32b89a5f3c45aa8b165,male_masculine,,thirties,36,30
b15e81b74f3a01152401371744ce17a419c45a9415478075dd9d5dab5818374ad025c732871b55b1d5242f40357f577ab2dfd02950081c195bf04dd7b8aa7910,male_masculine,"India and South Asia (India, Pakistan, Sri Lanka)",twenties,735,30
16407ab9e237bd10bf45338224524ebc08d8748b00256d2b2f58b738cf237296062fc8554a0a63e83d9f34c3ef22004134cffa980958f4fb1f375a565ab77796,female_feminine,Canadian English,thirties,77,30
b419faab633f2099c6405ff157b4d9fb5675219570f2683a4d08cbadeac4431e9d9b30dfa9b04f79aad9d8e3f75fda964809f3aa72ae9d0a4a025c59417f3dd1,male_masculine,United States English,thirties,2953,30
51e2699a9ed9a5f53cb458a4799b6633280204e8ffc4cd2fea538600c7267e6434e98c5262c3099de5f7b34da1c4077d19171bfac3c8bfeace30e8866353d6e8,,,,6,6
0e9c8073e337df1c27e448682b768b029377cfcae0a8c261a76f6f261ed5fd9ef7f320147d4564d7af5fcd02b32e3a4b2ccd959e35f07fa57784406f2b0b7f88,,,,11,11
d1c6d302d4af7caaf9aa737b16c7e04e749f63ed80ec202cfa4de06a1a42b990f3df3e362ac0fec76312eae93f0b526e60d127d6d6081f422ffe9468638036fc,male_masculine,United States English,fourties,40,30
493ebbbb9c7e3b6d3f0ae40c703b3e9469fc09b16b4f4da3a3e61e6203aa4066f02a3eab9e3af48743ebcaa9b272a76252fababd6b9a788bdb1e50ff29d560f6,female_feminine,,twenties,56,30
12b67bfec1a44e770b3c512bc90f15bc96336b03815d41060111e968132dd1480a8e1840e6cf5639baabccbe777c70aada116444f84ca759b38e3e56a25ebaad,male_masculine,"India and South Asia (India, Pakistan, Sri Lanka)",twenties,34,30
1eff4631dc269207618994527c66eb15c32fe75cdd16f377e1d46d17ffc037100b75d92cd77f84caa6ebee2c8542164edcaa42c3ac4a4548208a6ed93eeb1a66,male_masculine,United States English,twenties,206,30
29b8505586cd43382cd695da6b943f401104be710a5b60e814ac5fe7e06b39459cf8fe1701ca83f8154b3ccd749df7c2aef33ff23950bb1a135b1e1c393dbcf6,female_feminine,Scottish English,fourties,1565,30
141d2fb979ebab495f92c338e4ca2fcc5a9d7b10f19be3047972ea5a0656809b99460f8afa0f5b12848e69becfe6185ae8f44f773289568ba1745fdbbdffaa82,male_masculine,,fourties,64,30
757beaeb3dcab1faa1135fbbebc9a4315e7a569f749fbe21a8816905a981bec0b5aa2fe402d60d902cbc2fcaadbd204e02d7a72d388b389e9d7ff3b170f879e1,male_masculine,Northern Irish,fourties,1709,30
c8b7ad15b77f6d7204614ab961aa796921dd0ae6a96bae0c1eb9caf002a144f4ac1f09668be8633500913ecdd51c9d6ee4aa8d43acc2689ce695d3635b8012ff,female_feminine,United States English,thirties,7,7
64b9623abc2396d296ea4a014a54d7eb8ab53b36957d346fa2785f7400443f55816b226ad1ed09ad13379588b5082312f78e1ed167207d960c4eb51ab6491ebb,male_masculine,,seventies,559,30
e31822077e104d2f1781db7ce098c016abca0314515a35f564b26c30e59c0d2a0206cdf020dfbfe4e7340388f898c34d51e2d625681694a797c49581af656fba,female_feminine,"India and South Asia (India, Pakistan, Sri Lanka)",twenties,833,30
ed6394edfaff8ea435b23e5b8b3c1ec7e36500e30d55ff3e9d170e8420c58bd578311d8448094517113e85fb893b77dbe50677588950e72dfc6ac8c31180e877,male_masculine,"India and South Asia (India, Pakistan, Sri Lanka)",twenties,9,9
ca39e8ed65144dbe388d6a946c646b8e78802ec659d141c4c7367ce53a98512e1a5ff7dee3445f484ce6e81dc188c4bdf180af149d5f6763a7805c030027206f,male_masculine,New Zealand English,twenties,20,20
50defefa0aac8287e21d9316f073029371516790fe0af3ae00f7d07bff888fdb7131a9235a29de809bb67da2ede8ffcef4e4af45eaa5aa235b986805a38e1cf3,female_feminine,United States English,teens,38,30
cbed5aaf2db9cde3f7511eab1ed8760e43c09a33e16571cd75118c88594ad5bcf3342b357a0f3cb69ccde803bcbca8e943f51ecfc3df9673647017d530a9f92c,,England English,twenties,8,8
243c0d90f6145edce7803731bbd3baff7cb887a5290c10c1c5897e24248e249752883be23dbe58e59668ad96307fa0666e76dde82a2dd55ac2c624acbdb1d919,female_feminine,Australian English,fifties,116,30
f811c0160755894dd9a1f2bf8c365928338fa0b936a2d4c8432b023604926dcbf6b50316fcd40f331a5f1f872de75b57af9087a159bcf1bdaadb1ddaeb84823d,,,,5,5
1fc06ae2858fe60314b607d8728ce36d5dcd8f22f6f13b106b6c4a346da6e0d00fa406883a1bfa9a0973fa46de07b02b471559048f76b07fd708d71dbac8907c,female_feminine,,teens,164,30
6403b6699e25e61478215eea5120eae264dbd9ed41b38e115c6265985a7fae420358e20d4c0336b959e7dd788de9ab4d04c8e82eca6518f8ab98e94932eb1ee3,male_masculine,United States English,twenties,26,26
8320c720c92249bf371714e3bcbb294c9cef67d30699a0bbb9db687d3d2935cd62c59f5c6eeaacb4aacc2571c2514281c7595e426c92ce62c90f9d1d8ac32175,,,,15,15
2bf1907838353bd4ff938cb357518af5cd662218dcf4e05e91bccb5c4981619def6e13f25156c63c468ac5e938051eb89983ae095606bc1ebcbe2aba77dbcf38,male_masculine,Irish English,twenties,6,6
eeb001abc2922936dd6d3ba7684e71d09048351bcb2739c5c8da3c9bdd00ea1d6dc801815de929b33a20b0b2c7d5860f7ad34906e1091d6a9e1a284b1cd1f877,female_feminine,,fourties,60,30
13d883887135cd255da515e128469ec568e336891f1b48f7839d29debaa059d46cafa767addc9c22ba21d3333f04a067b4e78b5f3bb98178e6908717150281b3,female_feminine,,fourties,33,30
8d0a6af00251fed0765ac4e1c38eedd96cceaf8f86c4caa1c86ea8766ac4dbdb216203a66ba738c87310981edf87041aa09e16b273edb64e58cb6083a3cadaaa,male_masculine,"India and South Asia (India, Pakistan, Sri Lanka)",twenties,202,30
ee98b41342dc957ab16343fee9bc9058942123e43c159a8f8d8b5f9e97c6fd34dad5754c6bbc04b43e5a45ba9d318bcc4766c3ca489f320ca4dadc9f0424897f,male_masculine,Australian English,twenties,13,13
3c14040daa5e26a8d12ca58efebd1533383a0e175c238a8002d9eb3e47f99a4db6c301698932df61fd82ae92852bf7237b7ac027164bdece69dc8367b18f10b7,,,,35,30
0bf85b92b261f4cc142cb66d09428a83e48d2e48cda338298baabe0c8908352344586cf2e68ea5a1e7e030ee473fc5232efbc41d2727b56ca2cf248eb4f9f165,male_masculine,United States English,teens,30,30
af9c15b78f47fc932ee4a2fab15488dd4295f87b2a3359c855aad4f383b20bced882b0bb7ffa51fe7a08897bcd7370705108bb2cd7dd3919806d7d39f2209c7f,female_feminine,United States English,sixties,465,30
bc3d56e1422a1386efa4bec6f9a6f021b6b09ccb2af8b154f249a2ad4b69ccc8923c40f626c6903a01672b5fdaec936804c32ce70ca1e43eb125071068197f88,female_feminine,United States English,thirties,6,6
dae38384f7f9040151f6d56b7ac3ddc7e57d150213b974309039bc125c540912a994132623a992d894ad25c812aa97a79f45c2225c5257205ce61f5d833cbd5a,male_masculine,England English,teens,20,20
593038b627d4b5dbe5211dd8a299347c09433f6b0eb249092a176cf301518638bca743cbf6bc03a72b919616348519c57afadae021e5b7048aa937f72cfb3114,,,,127,30
3447120ac93b7c7788687c259b7f55058804e4982c36174a9a0af762495a6c2310915d2b10562a1f75255d5b0a18eefb304ef7b042006d96d83158f22d238de8,male_masculine,,twenties,235,30
93a5d68bb49a2aa81688b59d1db28f6fc04297bae84ea9a09f032ce4c629ede4ef32debb884a5afe6f4e544ce5846c18e62edd17ca1f63821ee5b218def88512,male_masculine,,twenties,70,30
0f13e656cd810df45ee0f860fe46411f9120c44d3fb10b621cbfae6e7a2d4ce949d0337b90b94a0ab61fddbdc44824b86815a81e118765affb1111106dca6460,,,,104,30
f7a684bb17c6541d942ce9a9cff0bd21cd3e202e80bb4e567c8e6ee4f784c479bac929e8c8642c90f1dd731c55c38cdf2db82a3650c9872eadfc8985c899b10d,male_masculine,United States English,twenties,8,8
b9e4f4e5255d1446d3adedde78abe413dd9fe964f898dede79ca435b5567f73479a681a63102923004668d06af845e24dbd14a2f6ac57e0503c9c15ccf15a5ed,,,twenties,11,11
a1cb939e97ca6abee8f1e2f721c74f40ee5b804997ac870612343409471687061b069a5848f49cdd60c1aa6027ee69f2674ca64028773969e690a1e0cf895dad,,,,39,30
ab72e9ab22713aec03a3189202a0713e56016ea07569b3041fcd65d77c9eb3f8c692f7ccaec75c16bbc62476d528f434d829193994cf07fcde9e3b1e4a2fa93a,male_masculine,United States English,sixties,1232,30
fe12ec033cc38c767644d14f4346aa5ca09c4871fc6d364f62ab184488e6af63c6161cbd8b43c9d0721be9d9b67235f885cba3329848bff30b8708dd8aed6874,female_feminine,United States English,twenties,49,30
281c3cf84bbed9fbdc383d3b3c89633b2a96b234403bb99a087fbaaacd8623e344c884839cbff5a68e37f88352b3e8139a3cbd3a43ae2e2d7f84af420a08dd2a,male_masculine,,twenties,5,5
16f9e5fead0a69ecbfe1e2eb94fe8da2b74d6c6e3216ea417badbee411b657da02830382a8b7fac875086573818938783658e5e38110051e6fbea0e6b3196dd9,,,,29,29
b059423a0ee814776005921dca70555367334688184ffd443755d64c0cd7b75eb736eae9d4046479993c0e7a6849a9c7dcbafdf51372a6a6ddcf314ed2f4e235,,United States English,twenties,11,11
82f06e82477cf1a991584b9406a52c4b768b4c082b4526d595e225d6990da57bcd82115c85b7e4ee9489ebcec5bc35470d4006212e2999ce1cc64fa5191dfd98,male_masculine,England English,fourties,46,30
e0c53befebc9b177ffd87e772f597c00a1fc99989fdf9230ffaf8bbcbc1bfc55bed37fccae1aff8d8008888dd3e2d586311bb9851065b793baffb25941b187dc,,,,20,20
2d8b9a112fef9a8acc091e1df7de7746f3ebd4061f9817a18edcfaec510fbb6991b839f0e72d682b62553d5eb2f40621437eb491470793f32b2db6419ac206d8,male_masculine,Australian English,twenties,25,25
98cfd9f3c99239b59083d23821824b62cb9fc1b2ea62a69dcad91eace1b707116a987d0b012d6bf23a2326a895f58a1b3d9779bdac725e7257bca63f8a1ea2db,male_masculine,,twenties,67,30
b5c9bb77e34f76e3130ba662c4ca78975345e97102b27b4b0fa1c4e4780e078d0487746e577e24531eb5370dd51cb466d469a66dfc378b61001c198fcf9c8756,female_feminine,United States English,teens,402,30
15f4b2d89fd6ef677ad0cf16118393247db64e892060c2b238c09fa625e31ed5d5c4b4e05b0de21c6fc2202db2a2ebf567b2fd032758dbfbeb9897aecb2ab555,male_masculine,"India and South Asia (India, Pakistan, Sri Lanka)",twenties,417,30
e790d1a6d652b49b74172d96fca249c1d46c38806613534de93e324492059b41bb491639158ff5b5efe117d167447b1dca743bff0b32dcfe07b12a43fb13a86e,male_masculine,United States English,twenties,607,30
5292138c9ead3abd78eeb9cc3b7dbfe7ace94bc449d20d692e94b7d9152df394861865a2375a6f81b514351daf8e8c4a4b7e7d6aa77a9c2abc20ef0490a303a0,male_masculine,,thirties,7,7
c895f6ffc789443e064895d7a9eef515f9c01c86ff78b4141d2428a6fab1f9a4a6a52723124cba3640a86204d4ff027b96172a2738cb57943a336e044d934f24,male_masculine,United States English,sixties,454,30
e725473ad8a4ea90124e1e38eece094771f31528a94f42286787cf4dec697a663c3575cedf267c67dd2b53e63c549979a733d574acfd1abe78e799c6fef27584,,,,16,16
4459d380d2a931d0968adfb73d7596ef969b47097e246611c7c17e987ea568b8457a26964ce11f99ce95e18ca8c8579365a4acb098e48b8d560d4935e96709e0,male_masculine,"India and South Asia (India, Pakistan, Sri Lanka)",twenties,48,30
a86b602e3bca27210ab79d5603b472cbf6efc83bfba808ef3e57760a0083ac2431667346584be0a793aadd83c0c4d238b624e29ef7a967693cf5f1cc6bec0ced,female_feminine,United States English,teens,16,16
416dc03bdc0085ce8ea41524449ef5421eed43264a1c42a4fc14300111a73fbe13396d018c6972fa5ec859c678bb15e077675dc399e12f637812c624d6e993dc,female_feminine,"India and South Asia (India, Pakistan, Sri Lanka)",fourties,198,30
82cb414622ff3f54fc5366b086ebd5f404de9ed59cdd5d73dc7445415558dbdf1caf5f579e5d48c41309d41585d72f1516441185933dafd3d5da7a6aa0793fd9,male_masculine,"India and South Asia (India, Pakistan, Sri Lanka)",twenties,9,9
63e2659d2ae278fc14fcbce9bfba6788171021fe287d6c6c2b7eca3f55a579cab25cb013c02e6adc0e858b703296b56bdc0d06ce20ab414501766c8badecbf9c,female_feminine,"India and South Asia (India, Pakistan, Sri Lanka)",thirties,139,30
78898e245d797bffec906b7fe62816915d8ce9bf3e854bb0411f64ec976b051e89bd6846aa8054dcbd90a96458d7c30f96b9d905e41c530cae4a3b38f71c6020,,Australian English,fourties,62,30
f0ea206776edd98e6ab41801393839be2d3a3508647336452079b21ddc3ed6eafddd8489e7a79cf149c48136862b49b77c412f7721653750f051aa12c2858e0b,male_masculine,England English,thirties,433,30
5b9265839ec3c73c4bf4ef1348528cd6778c87938ecdbab9101c7f2cdac971ce0ba043e7e73c116a22b97b9fa458c34f1ea84e584e6c0be602b6e4456ca4839b,male_masculine,Hong Kong English,twenties,213,30
7b9dc25d5e538cb502cefd188609db8550981c0c1906f3e4538bee9be19ac559d63e1ccdff8125355b19a679f5ec02def2d344beffa23bf983890c964d9b3fa5,male_masculine,United States English,fifties,31,30
1a0446d48b2fe1114209fcb872c1ca88b6eb43d420aeb81255ee4ff9d6e295c56257b7cf2ff2dde3905f1675a0a29c728187cc03b0423d68ddf7fb1539e8f399,male_masculine,New Zealand English,fourties,629,30
619f08dd806f9ccce744ffcfed4c1f5dd587313dd11d5723adf1b56f75db629dabe0a1d2065c87857b7305d8e938feeddaf678fac61b3d50b99224b4c94a2c01,male_masculine,"India and South Asia (India, Pakistan, Sri Lanka)",fourties,10,10
8447eb5889a3f2877bae937b925b00875a5d7caaa19f1f148c24c880c0003ac2e00da03a68c2afa3152cfab784783b49930c3a2aa94d343551b9d188589bfee8,male_masculine,United States English,twenties,8,8
d1d3737a83a4f8cfa120ecf204ab6254627e6bdc183cf32d0fca8db713d283d27fa3daa078c12cef007ed11c498577fc947c05e7298d13f8ae1d8908a10a41fe,,,,7,7
