split,dialect,speaker,sex,utt,utt_id,wav,phn
TRAIN,DR1,FDAW0,F,SX56,FDAW0_SX56,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FDAW0\SX56.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FDAW0\SX56.PHN
TRAIN,DR1,FDML0,F,SA1,FDML0_SA1,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FDML0\SA1.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FDML0\SA1.PHN
TRAIN,DR1,FDML0,F,SA2,FDML0_SA2,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FDML0\SA2.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FDML0\SA2.PHN
TRAIN,DR1,FDML0,F,SI1149,FDML0_SI1149,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FDML0\SI1149.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FDML0\SI1149.PHN
TRAIN,DR1,FDML0,F,SI1779,FDML0_SI1779,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FDML0\SI1779.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FDML0\SI1779.PHN
TRAIN,DR1,FDML0,F,SI2075,FDML0_SI2075,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FDML0\SI2075.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FDML0\SI2075.PHN
TRAIN,DR1,FDML0,F,SX159,FDML0_SX159,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FDML0\SX159.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FDML0\SX159.PHN
TRAIN,DR1,FDML0,F,SX249,FDML0_SX249,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FDML0\SX249.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FDML0\SX249.PHN
TRAIN,DR1,FDML0,F,SX339,FDML0_SX339,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FDML0\SX339.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FDML0\SX339.PHN
TRAIN,DR1,FDML0,F,SX429,FDML0_SX429,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FDML0\SX429.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FDML0\SX429.PHN
TRAIN,DR1,FDML0,F,SX69,FDML0_SX69,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FDML0\SX69.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FDML0\SX69.PHN
TRAIN,DR1,FECD0,F,SA1,FECD0_SA1,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FECD0\SA1.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FECD0\SA1.PHN
TRAIN,DR1,FECD0,F,SA2,FECD0_SA2,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FECD0\SA2.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FECD0\SA2.PHN
TRAIN,DR1,FECD0,F,SI1418,FECD0_SI1418,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FECD0\SI1418.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FECD0\SI1418.PHN
TRAIN,DR1,FECD0,F,SI2048,FECD0_SI2048,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FECD0\SI2048.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FECD0\SI2048.PHN
TRAIN,DR1,FECD0,F,SI788,FECD0_SI788,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FECD0\SI788.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FECD0\SI788.PHN
TRAIN,DR1,FECD0,F,SX158,FECD0_SX158,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FECD0\SX158.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FECD0\SX158.PHN
TRAIN,DR1,FECD0,F,SX248,FECD0_SX248,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FECD0\SX248.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FECD0\SX248.PHN
TRAIN,DR1,FECD0,F,SX338,FECD0_SX338,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FECD0\SX338.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FECD0\SX338.PHN
TRAIN,DR1,FECD0,F,SX428,FECD0_SX428,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FECD0\SX428.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FECD0\SX428.PHN
TRAIN,DR1,FECD0,F,SX68,FECD0_SX68,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FECD0\SX68.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FECD0\SX68.PHN
TRAIN,DR1,FETB0,F,SA1,FETB0_SA1,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FETB0\SA1.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FETB0\SA1.PHN
TRAIN,DR1,FETB0,F,SA2,FETB0_SA2,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FETB0\SA2.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FETB0\SA2.PHN
TRAIN,DR1,FETB0,F,SI1148,FETB0_SI1148,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FETB0\SI1148.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FETB0\SI1148.PHN
TRAIN,DR1,FETB0,F,SI1778,FETB0_SI1778,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FETB0\SI1778.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FETB0\SI1778.PHN
TRAIN,DR1,FETB0,F,SI518,FETB0_SI518,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FETB0\SI518.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FETB0\SI518.PHN
TRAIN,DR1,FETB0,F,SX158,FETB0_SX158,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FETB0\SX158.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FETB0\SX158.PHN
TRAIN,DR1,FETB0,F,SX248,FETB0_SX248,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FETB0\SX248.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FETB0\SX248.PHN
TRAIN,DR1,FETB0,F,SX338,FETB0_SX338,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FETB0\SX338.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FETB0\SX338.PHN
TRAIN,DR1,FETB0,F,SX428,FETB0_SX428,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FETB0\SX428.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FETB0\SX428.PHN
TRAIN,DR1,FETB0,F,SX68,FETB0_SX68,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FETB0\SX68.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FETB0\SX68.PHN
TRAIN,DR1,FJSP0,F,SA1,FJSP0_SA1,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FJSP0\SA1.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FJSP0\SA1.PHN
TRAIN,DR1,FJSP0,F,SA2,FJSP0_SA2,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FJSP0\SA2.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FJSP0\SA2.PHN
TRAIN,DR1,FJSP0,F,SI1434,FJSP0_SI1434,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FJSP0\SI1434.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FJSP0\SI1434.PHN
TRAIN,DR1,FJSP0,F,SI1763,FJSP0_SI1763,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FJSP0\SI1763.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FJSP0\SI1763.PHN
TRAIN,DR1,FJSP0,F,SI804,FJSP0_SI804,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FJSP0\SI804.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FJSP0\SI804.PHN
TRAIN,DR1,FJSP0,F,SX174,FJSP0_SX174,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FJSP0\SX174.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FJSP0\SX174.PHN
TRAIN,DR1,FJSP0,F,SX264,FJSP0_SX264,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FJSP0\SX264.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FJSP0\SX264.PHN
TRAIN,DR1,FJSP0,F,SX354,FJSP0_SX354,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FJSP0\SX354.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FJSP0\SX354.PHN
TRAIN,DR1,FJSP0,F,SX444,FJSP0_SX444,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FJSP0\SX444.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FJSP0\SX444.PHN
TRAIN,DR1,FJSP0,F,SX84,FJSP0_SX84,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FJSP0\SX84.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FJSP0\SX84.PHN
TRAIN,DR1,FKFB0,F,SA1,FKFB0_SA1,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FKFB0\SA1.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FKFB0\SA1.PHN
TRAIN,DR1,FKFB0,F,SA2,FKFB0_SA2,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FKFB0\SA2.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FKFB0\SA2.PHN
TRAIN,DR1,FKFB0,F,SI1608,FKFB0_SI1608,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FKFB0\SI1608.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FKFB0\SI1608.PHN
TRAIN,DR1,FKFB0,F,SI2238,FKFB0_SI2238,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FKFB0\SI2238.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FKFB0\SI2238.PHN
TRAIN,DR1,FKFB0,F,SI978,FKFB0_SI978,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FKFB0\SI978.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FKFB0\SI978.PHN
TRAIN,DR1,FKFB0,F,SX168,FKFB0_SX168,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FKFB0\SX168.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FKFB0\SX168.PHN
TRAIN,DR1,FKFB0,F,SX258,FKFB0_SX258,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FKFB0\SX258.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FKFB0\SX258.PHN
TRAIN,DR1,FKFB0,F,SX348,FKFB0_SX348,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FKFB0\SX348.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FKFB0\SX348.PHN
TRAIN,DR1,FKFB0,F,SX438,FKFB0_SX438,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FKFB0\SX438.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FKFB0\SX438.PHN
TRAIN,DR1,FKFB0,F,SX78,FKFB0_SX78,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FKFB0\SX78.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FKFB0\SX78.PHN
TRAIN,DR1,FMEM0,F,SA1,FMEM0_SA1,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FMEM0\SA1.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FMEM0\SA1.PHN
TRAIN,DR1,FMEM0,F,SA2,FMEM0_SA2,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FMEM0\SA2.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FMEM0\SA2.PHN
TRAIN,DR1,FMEM0,F,SI1377,FMEM0_SI1377,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FMEM0\SI1377.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FMEM0\SI1377.PHN
TRAIN,DR1,FMEM0,F,SI2007,FMEM0_SI2007,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FMEM0\SI2007.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FMEM0\SI2007.PHN
TRAIN,DR1,FMEM0,F,SI747,FMEM0_SI747,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FMEM0\SI747.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FMEM0\SI747.PHN
TRAIN,DR1,FMEM0,F,SX117,FMEM0_SX117,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FMEM0\SX117.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FMEM0\SX117.PHN
TRAIN,DR1,FMEM0,F,SX207,FMEM0_SX207,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FMEM0\SX207.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FMEM0\SX207.PHN
TRAIN,DR1,FMEM0,F,SX297,FMEM0_SX297,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FMEM0\SX297.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FMEM0\SX297.PHN
TRAIN,DR1,FMEM0,F,SX333,FMEM0_SX333,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FMEM0\SX333.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FMEM0\SX333.PHN
TRAIN,DR1,FMEM0,F,SX387,FMEM0_SX387,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FMEM0\SX387.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FMEM0\SX387.PHN
TRAIN,DR1,FSAH0,F,SA1,FSAH0_SA1,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FSAH0\SA1.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FSAH0\SA1.PHN
TRAIN,DR1,FSAH0,F,SA2,FSAH0_SA2,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FSAH0\SA2.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FSAH0\SA2.PHN
TRAIN,DR1,FSAH0,F,SI1244,FSAH0_SI1244,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FSAH0\SI1244.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FSAH0\SI1244.PHN
TRAIN,DR1,FSAH0,F,SI1874,FSAH0_SI1874,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FSAH0\SI1874.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FSAH0\SI1874.PHN
TRAIN,DR1,FSAH0,F,SI614,FSAH0_SI614,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FSAH0\SI614.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FSAH0\SI614.PHN
TRAIN,DR1,FSAH0,F,SX164,FSAH0_SX164,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FSAH0\SX164.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FSAH0\SX164.PHN
TRAIN,DR1,FSAH0,F,SX327,FSAH0_SX327,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FSAH0\SX327.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FSAH0\SX327.PHN
TRAIN,DR1,FSAH0,F,SX344,FSAH0_SX344,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FSAH0\SX344.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FSAH0\SX344.PHN
TRAIN,DR1,FSAH0,F,SX434,FSAH0_SX434,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FSAH0\SX434.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FSAH0\SX434.PHN
TRAIN,DR1,FSAH0,F,SX74,FSAH0_SX74,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FSAH0\SX74.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FSAH0\SX74.PHN
TRAIN,DR1,FSJK1,F,SA1,FSJK1_SA1,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FSJK1\SA1.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FSJK1\SA1.PHN
TRAIN,DR1,FSJK1,F,SA2,FSJK1_SA2,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FSJK1\SA2.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FSJK1\SA2.PHN
TRAIN,DR1,FSJK1,F,SI1025,FSJK1_SI1025,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FSJK1\SI1025.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FSJK1\SI1025.PHN
TRAIN,DR1,FSJK1,F,SI2285,FSJK1_SI2285,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FSJK1\SI2285.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FSJK1\SI2285.PHN
TRAIN,DR1,FSJK1,F,SI696,FSJK1_SI696,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FSJK1\SI696.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FSJK1\SI696.PHN
TRAIN,DR1,FSJK1,F,SX125,FSJK1_SX125,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FSJK1\SX125.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FSJK1\SX125.PHN
TRAIN,DR1,FSJK1,F,SX215,FSJK1_SX215,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FSJK1\SX215.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FSJK1\SX215.PHN
TRAIN,DR1,FSJK1,F,SX305,FSJK1_SX305,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FSJK1\SX305.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FSJK1\SX305.PHN
TRAIN,DR1,FSJK1,F,SX35,FSJK1_SX35,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FSJK1\SX35.WAV,C:\Users\shuoo\Desktop\voice_unique\data\TIMIT\TRAIN\DR1\FSJK1\SX35.PHN
