feature,within_var,between_var,F_ratio_pooled,q_max_pooled,anova_F,anova_p,F_ratio_male,F_ratio_female,F_ratio_within_sex,q_max_male,q_max_female
SSPF,0.6664345120764767,0.6097294776968757,0.9149128183609226,,9.149128183609225,0.0,0.748898826705072,0.6638027488029857,0.7063507877540289,,
B2,5245.555995110777,4592.289904776507,0.8754629459788134,,8.754629459788132,0.0,0.6492447865739336,1.0531422261308525,0.851193506352393,,
F2,12862.099026631002,10480.15108873322,0.8148087700953046,,8.148087700953026,0.0,0.3582536153250266,0.4988009468042427,0.42852728106463467,,
LHR,7.052512753651146,5.543888423133936,0.7860869759170329,,7.860869759170352,0.0,0.8267857841290257,0.678669385979899,0.7527275850544624,,
SPI,5.677402410227085,4.445488710010692,0.7830145529234877,,7.8301455292348825,0.0,0.7679937348149102,0.7734875588873649,0.7707406468511375,,
Nasality,3.304717196871228,2.568893267242593,0.7773413318618358,,7.7734133186183625,0.0,0.5745840589836827,1.2718234161182085,0.9232037375509456,,
spectral_skewness,0.09062518355177673,0.06949722247741058,0.7668643499927904,,7.668643499927919,0.0,0.6637363285375439,0.6686846245704211,0.6662104765539825,,
speech_rate,2.244986129166687,1.708171613828301,0.7608829255717293,,7.60882925571729,0.0,0.7634895736019631,0.7106260480596477,0.7370578108308055,,
spectral_rolloff,169643.91926398373,91284.10443021284,0.5380924045274219,,5.3809240452742175,2.459771628342233e-269,0.4164528901566772,0.37379257345841865,0.3951227318075479,,
semitone_SD_F0,2.681635998329271,1.3247776113795802,0.4940184321082172,,4.940184321082181,1.922859499387855e-238,0.48245243393004733,0.5582503353781139,0.5203513846540806,,
GNE,0.0007189700209987759,0.0003477637584902731,0.4836971616802158,,4.83697161680216,3.6545580038685096e-231,0.3457036768167399,0.5182254413272914,0.4319645590720157,,
BGD,0.0004113527467476605,0.0001323988165101805,0.3218619969283905,,3.154219182363394,8.607759096961241e-112,0.3061182039933417,0.36489592464051596,0.33550706431692884,,
AMD,0.009604789698086452,0.0027321722396267726,0.2844593505437292,,2.8445935054372926,5.285347467638556e-91,0.27228210020297133,0.30109976572253494,0.28669093296275316,,
IHI,9.197883295717695,2.4630935384589754,0.26778917053728335,,2.6778917053728337,7.469733408682566e-80,0.17711953053602802,0.27050008775073753,0.22380980914338278,,
VOT,0.00016043861879131224,3.7574982487022575e-05,0.23420160788031705,,2.269813348855249,1.8423354944810054e-53,0.22862103484684654,0.24250211019404147,0.23556157252044402,,
