speaker,sex,dr,height_cm,age_yr
FDRW0,F,DR6,157.5,24.2
MDSC0,M,DR6,170.2,42.3
MDSJ0,M,DR5,188.0,33.6
MDSS0,M,DR2,175.3,27.5
MDSS1,M,DR3,185.4,30.5
MDTB0,M,DR3,177.8,43.5
FDTD0,F,DR5,172.7,31.3
MDVC0,M,DR7,180.3,31.1
MDWA0,M,DR5,180.3,26.5
MDWD0,M,DR2,177.8,23.6
MDWH0,M,DR5,188.0,24.0
MDWK0,M,DR5,172.7,54.2
MDWM0,M,DR3,177.8,24.1
FDXW0,F,DR2,175.3,24.2
FEAC0,F,DR2,162.6,35.2
MEAL0,M,DR6,177.8,22.4
FEAR0,F,DR5,172.7,40.2
FECD0,F,DR1,157.5,37.0
MEDR0,M,DR1,167.6,25.3
FEDW0,F,DR4,170.2,26.0
FEEH0,F,DR4,162.6,23.9
MEFG0,M,DR2,172.7,29.9
MEGJ0,M,DR5,193.0,31.8
MEJL0,M,DR6,175.3,28.7
MEJS0,M,DR8,180.3,35.9
FELC0,F,DR1,162.6,31.8
FEME0,F,DR3,175.3,52.0
MERS0,M,DR7,172.7,29.2
MESD0,M,DR6,172.7,24.3
MESG0,M,DR4,182.9,22.7
MESJ0,M,DR6,172.7,28.3
FETB0,F,DR1,152.4,25.6
MEWM0,M,DR5,172.7,22.2
FEXM0,F,DR5,162.6,31.1
MFER0,M,DR5,190.5,29.7
MFGK0,M,DR5,167.6,29.0
MFMC0,M,DR3,190.5,24.4
MFRM0,M,DR4,180.3,29.8
MFWK0,M,DR4,175.3,37.3
MFXS0,M,DR7,167.6,40.0
MFXV0,M,DR7,190.5,44.8
MGAF0,M,DR3,180.3,37.2
MGAG0,M,DR4,182.9,23.4
MGAK0,M,DR7,188.0,35.6
MGAR0,M,DR7,177.8,24.2
MGAW0,M,DR7,180.3,25.2
FGCS0,F,DR3,160.0,23.7
FGDP0,F,DR5,147.3,27.3
MGES0,M,DR5,190.5,26.1
MGJC0,M,DR4,175.3,23.6
FGJD0,F,DR4,167.6,25.1
MGJF0,M,DR3,180.3,35.5
MGLB0,M,DR3,180.3,36.9
FGMB0,F,DR5,172.7,27.5
FGMD0,F,DR5,160.0,23.3
MGMM0,M,DR4,177.8,23.4
MGRL0,M,DR1,185.4,38.1
MGRP0,M,DR4,185.4,57.0
MGRT0,M,DR7,190.5,29.5
FGRW0,F,DR3,160.0,24.7
MGSH0,M,DR5,182.9,28.3
MGSL0,M,DR7,193.0,38.5
FGWR0,F,DR7,172.7,25.5
MGWT0,M,DR2,167.6,-35.3
MGXP0,M,DR4,172.7,35.7
MHBS0,M,DR7,177.8,24.1
FHES0,F,DR5,165.1,25.1
FHEW0,F,DR5,152.4,51.9
MHIT0,M,DR5,175.3,27.3
MHJB0,M,DR3,185.4,27.3
FHLM0,F,DR2,160.0,42.8
MHMG0,M,DR5,180.3,26.6
MHMR0,M,DR3,177.8,24.0
MHPG0,M,DR3,175.3,38.3
MHRM0,M,DR2,188.0,29.7
MHXL0,M,DR7,177.8,34.4
FHXS0,F,DR6,167.6,44.7
MILB0,M,DR3,190.5,30.8
FISB0,F,DR7,177.8,35.1
MJAC0,M,DR4,172.7,45.4
MJAE0,M,DR2,175.3,23.0
MJAI0,M,DR7,177.8,24.1
MJAR0,M,DR2,180.3,24.3
FJAS0,F,DR2,172.7,38.6
MJBG0,M,DR2,180.3,26.8
MJBR0,M,DR3,177.8,35.7
FJCS0,F,DR5,162.6,34.1
MJDA0,M,DR3,170.2,32.1
MJDC0,M,DR4,188.0,27.3
MJDE0,M,DR2,182.9,23.3
MJDG0,M,DR7,160.0,29.4
MJDH0,M,DR6,185.4,35.4
MJDM0,M,DR5,185.4,35.0
MJDM1,M,DR4,182.9,24.8
FJDM2,F,DR6,165.1,30.5
MJEB0,M,DR2,172.7,38.1
MJEB1,M,DR1,175.3,27.1
MJEE0,M,DR4,180.3,29.6
FJEM0,F,DR1,167.6,34.3
FJEN0,F,DR7,172.7,22.6
MJES0,M,DR3,165.1,23.1
MJFC0,M,DR6,182.9,27.1
MJFH0,M,DR5,175.3,28.0
MJFR0,M,DR7,172.7,46.5
MJHI0,M,DR2,170.2,33.7
FJHK0,F,DR7,157.5,25.7
MJJB0,M,DR3,182.9,26.8
MJJG0,M,DR3,185.4,24.8
MJJJ0,M,DR4,185.4,46.2
MJJM0,M,DR7,185.4,23.7
FJKL0,F,DR2,167.6,27.2
MJKR0,M,DR3,198.1,32.2
MJLB0,M,DR4,177.8,22.7
FJLG0,F,DR3,162.6,23.3
MJLG1,M,DR3,175.3,26.3
FJLM0,F,DR4,160.0,23.8
MJLN0,M,DR8,177.8,30.4
FJLR0,F,DR3,162.6,25.2
MJLS0,M,DR4,175.3,25.6
MJMA0,M,DR2,177.8,23.9
MJMD0,M,DR2,170.2,28.1
FJMG0,F,DR4,165.1,32.6
MJMM0,M,DR4,175.3,27.3
MJMP0,M,DR3,185.4,23.5
MJPG0,M,DR5,188.0,23.3
MJPM0,M,DR2,188.0,27.8
MJPM1,M,DR4,175.3,48.1
MJRA0,M,DR7,180.3,30.8
FJRB0,F,DR8,170.2,27.5
FJRE0,F,DR2,167.6,23.5
MJRF0,M,DR4,170.2,40.3
MJRG0,M,DR5,185.4,29.4
MJRH0,M,DR4,177.8,25.1
MJRH1,M,DR3,182.9,23.7
MJRK0,M,DR6,185.4,45.7
MJRP0,M,DR2,180.3,27.6
FJRP1,F,DR7,172.7,45.6
FJSA0,F,DR5,170.2,32.5
FJSJ0,F,DR8,165.1,36.5
FJSK0,F,DR7,177.8,32.2
FJSP0,F,DR1,160.0,36.7
MJSR0,M,DR4,180.3,36.2
MJSW0,M,DR1,172.7,32.8
MJTC0,M,DR8,180.3,30.3
MJTH0,M,DR8,177.8,27.6
MJVW0,M,DR3,182.9,22.5
FJWB0,F,DR2,170.2,32.0
FJWB1,F,DR4,167.6,29.9
MJWG0,M,DR5,180.3,24.8
MJWS0,M,DR4,180.3,46.0
MJWT0,M,DR1,190.5,32.9
MJXA0,M,DR5,180.3,36.2
MJXL0,M,DR4,177.8,58.3
FJXM0,F,DR5,160.0,27.9
FJXP0,F,DR4,162.6,23.8
FKAA0,F,DR2,167.6,27.3
MKAG0,M,DR7,172.7,46.5
MKAH0,M,DR2,182.9,29.7
MKAJ0,M,DR2,167.6,30.7
MKAM0,M,DR4,182.9,37.3
MKCH0,M,DR3,195.6,30.1
MKCL0,M,DR4,167.6,39.1
MKDB0,M,DR7,180.3,30.5
MKDD0,M,DR8,182.9,30.3
FKDE0,F,DR7,162.6,23.6
MKDR0,M,DR7,188.0,25.3
MKDT0,M,DR2,172.7,28.6
FKDW0,F,DR4,152.4,24.3
MKES0,M,DR6,182.9,30.7
FKFB0,F,DR1,157.5,
MKJL0,M,DR7,185.4,30.2
MKJO0,M,DR2,182.9,31.3
FKKH0,F,DR5,165.1,27.8
FKLC0,F,DR4,165.1,25.9
FKLC1,F,DR6,167.6,23.8
FKLH0,F,DR8,167.6,24.5
MKLN0,M,DR6,172.7,29.3
MKLR0,M,DR7,182.9,26.4
MKLS0,M,DR1,167.6,33.7
MKLS1,M,DR3,185.4,24.2
MKLT0,M,DR5,180.3,23.6
MKLW0,M,DR1,175.3,29.4
FKMS0,F,DR3,172.7,38.9
MKRG0,M,DR8,182.9,25.6
FKSR0,F,DR7,172.7,24.9
MKXL0,M,DR3,180.3,26.3
FLAC0,F,DR3,167.6,25.0
FLAG0,F,DR6,157.5,24.2
FLAS0,F,DR7,167.6,24.3
MLBC0,M,DR4,177.8,29.6
FLBW0,F,DR4,170.2,24.8
FLEH0,F,DR7,165.1,24.6
MLEL0,M,DR4,170.2,27.0
FLET0,F,DR7,162.6,24.4
FLHD0,F,DR4,162.6,38.6
MLIH0,M,DR5,182.9,24.1
FLJA0,F,DR5,170.2,32.1
MLJB0,M,DR4,180.3,27.2
MLJC0,M,DR4,177.8,24.8
FLJD0,F,DR3,167.6,25.0
FLJG0,F,DR5,170.2,-35.9
MLJH0,M,DR4,182.9,35.9
FLKD0,F,DR4,165.1,23.4
FLKM0,F,DR4,157.5,35.1
MLLL0,M,DR4,167.6,26.8
FLMA0,F,DR2,172.7,25.6
FLMC0,F,DR2,172.7,22.3
FLMK0,F,DR5,152.4,25.9
FLNH0,F,DR6,172.7,25.4
MLNS0,M,DR3,167.6,26.3
MLNT0,M,DR3,167.6,32.8
FLOD0,F,DR5,157.5,33.2
MLSH0,M,DR4,175.3,31.6
FLTM0,F,DR3,157.5,25.4
MMAA0,M,DR2,177.8,26.7
MMAB0,M,DR3,177.8,27.9
MMAB1,M,DR5,188.0,31.2
FMAF0,F,DR4,165.1,42.0
MMAG0,M,DR2,188.0,22.3
FMAH0,F,DR5,160.0,23.0
FMAH1,F,DR7,170.2,24.8
MMAM0,M,DR3,180.3,24.8
MMAR0,M,DR3,175.3,28.2
FMBG0,F,DR8,162.6,31.0
MMBS0,M,DR4,188.0,25.9
MMCC0,M,DR5,172.7,27.7
FMCM0,F,DR4,167.6,26.2
MMDB0,M,DR6,177.8,32.0
MMDB1,M,DR2,177.8,23.9
MMDG0,M,DR7,177.8,33.3
MMDH0,M,DR3,182.9,28.9
MMDM0,M,DR4,190.5,27.2
MMDM1,M,DR5,182.9,28.5
MMDM2,M,DR2,180.3,27.2
MMDS0,M,DR2,182.9,20.6
MMEA0,M,DR8,172.7,23.6
MMEB0,M,DR3,182.9,44.0
FMEM0,F,DR1,170.2,57.7
MMGC0,M,DR4,188.0,33.0
FMGD0,F,DR6,165.1,54.4
MMGG0,M,DR1,188.0,25.9
MMGK0,M,DR2,188.0,22.3
FMJB0,F,DR2,165.1,22.6
MMJB1,M,DR3,182.9,26.9
FMJF0,F,DR3,165.1,31.2
MMJR0,M,DR3,185.4,32.3
FMJU0,F,DR6,160.0,26.9
FMKC0,F,DR7,167.6,27.4
FMKF0,F,DR2,160.0,27.6
FMLD0,F,DR8,157.5,25.6
MMLM0,M,DR8,193.0,38.7
FMMH0,F,DR2,167.6,23.2
FMML0,F,DR7,180.3,24.6
FMPG0,F,DR5,165.1,53.3
MMPM0,M,DR8,177.8,30.2
MMRP0,M,DR1,170.2,27.1
MMSM0,M,DR3,177.8,23.0
MMVP0,M,DR5,172.7,24.9
MMWB0,M,DR5,167.6,23.6
MMWH0,M,DR3,182.9,26.6
MMWS0,M,DR8,182.9,25.1
MMWS1,M,DR7,167.6,31.4
MMXS0,M,DR2,162.6,31.8
MNET0,M,DR4,180.3,48.3
MNJM0,M,DR7,188.0,31.0
FNKL0,F,DR8,170.2,25.1
FNLP0,F,DR5,172.7,30.5
MNLS0,M,DR7,182.9,42.0
FNMR0,F,DR4,172.7,31.5
FNTB0,F,DR3,172.7,25.1
MNTW0,M,DR7,193.0,25.0
MPAB0,M,DR7,170.2,31.8
FPAB1,F,DR7,177.8,23.9
FPAC0,F,DR7,157.5,23.9
FPAD0,F,DR6,160.0,30.4
FPAF0,F,DR4,165.1,42.9
MPAM0,M,DR8,182.9,28.1
MPAM1,M,DR6,180.3,51.7
MPAR0,M,DR7,172.7,25.2
FPAS0,F,DR2,167.6,23.0
FPAZ0,F,DR3,165.1,32.0
MPCS0,M,DR4,180.3,25.3
MPDF0,M,DR2,180.3,29.9
MPEB0,M,DR4,182.9,30.7
MPFU0,M,DR7,170.2,29.2
MPGH0,M,DR1,172.7,22.5
MPGL0,M,DR2,182.9,24.6
MPGR0,M,DR1,172.7,24.3
MPGR1,M,DR6,177.8,26.2
FPJF0,F,DR2,162.6,26.0
FPKT0,F,DR3,162.6,24.6
MPLB0,M,DR4,185.4,34.0
FPLS0,F,DR8,167.6,21.1
MPMB0,M,DR5,170.2,-24.2
FPMY0,F,DR5,167.6,27.6
MPPC0,M,DR2,165.1,25.9
MPRB0,M,DR2,172.7,32.4
MPRD0,M,DR3,175.3,35.7
MPRK0,M,DR4,180.3,27.9
MPRT0,M,DR4,175.3,32.9
MPSW0,M,DR1,177.8,24.2
MPWM0,M,DR4,188.0,29.9
MRAB0,M,DR2,175.3,31.8
MRAB1,M,DR4,172.7,33.1
MRAI0,M,DR1,172.7,25.2
MRAM0,M,DR5,185.4,25.3
FRAM1,F,DR2,167.6,25.3
MRAV0,M,DR5,193.0,25.4
MRBC0,M,DR3,185.4,25.8
MRCG0,M,DR1,185.4,40.9
MRCS0,M,DR7,182.9,39.2
MRCW0,M,DR2,190.5,27.6
MRCZ0,M,DR2,175.3,28.0
MRDD0,M,DR1,180.3,42.3
MRDM0,M,DR8,188.0,36.5
MRDS0,M,DR3,182.9,32.4
MREB0,M,DR1,182.9,27.2
MREE0,M,DR3,198.1,24.4
FREH0,F,DR7,170.2,23.6
MREH1,M,DR3,175.3,24.9
MREM0,M,DR7,188.0,51.5
MRES0,M,DR8,193.0,23.6
FREW0,F,DR4,162.6,33.7
MREW1,M,DR5,182.9,27.9
MRFK0,M,DR2,188.0,34.4
MRFL0,M,DR4,162.6,33.3
MRGG0,M,DR2,182.9,24.7
MRGM0,M,DR4,182.9,31.3
MRGS0,M,DR2,172.7,22.6
MRHL0,M,DR2,175.3,32.1
FRJB0,F,DR6,162.6,26.6
MRJB1,M,DR3,193.0,23.6
MRJH0,M,DR2,175.3,42.1
MRJM0,M,DR2,182.9,29.3
MRJM1,M,DR2,182.9,38.6
MRJM3,M,DR5,185.4,51.6
MRJM4,M,DR7,172.7,35.6
MRJO0,M,DR1,177.8,34.8
MRJR0,M,DR6,175.3,27.8
MRJS0,M,DR6,170.2,25.6
MRJT0,M,DR2,182.9,44.5
MRKM0,M,DR5,180.3,29.3
MRKO0,M,DR4,190.5,45.1
MRLD0,M,DR5,175.3,30.3
MRLJ0,M,DR2,172.7,34.2
MRLJ1,M,DR7,182.9,25.8
MRLK0,M,DR8,182.9,34.8
FRLL0,F,DR2,167.6,23.7
MRLR0,M,DR2,177.8,26.8
MRMB0,M,DR6,182.9,32.8
MRMG0,M,DR7,180.3,42.5
MRMH0,M,DR7,188.0,26.1
MRML0,M,DR5,190.5,33.0
MRMS0,M,DR2,170.2,26.0
MRMS1,M,DR7,182.9,25.9
FRNG0,F,DR4,167.6,24.4
MROA0,M,DR4,190.5,23.4
MRPC0,M,DR7,175.3,25.4
MRPC1,M,DR7,190.5,23.2
MRPP0,M,DR5,180.3,27.4
MRRE0,M,DR8,177.8,35.2
MRRK0,M,DR5,175.3,44.6
MRSO0,M,DR1,182.9,25.8
MRSP0,M,DR4,177.8,32.5
MRTC0,M,DR3,182.9,28.1
MRTJ0,M,DR3,180.3,48.3
MRTK0,M,DR3,182.9,27.4
MRVG0,M,DR5,182.9,31.8
MRWA0,M,DR3,175.3,25.9
MRWS0,M,DR1,188.0,26.9
MRWS1,M,DR5,177.8,27.5
MRXB0,M,DR6,177.8,26.0
FSAG0,F,DR5,165.1,44.4
FSAH0,F,DR1,175.3,22.9
MSAH1,M,DR7,177.8,39.4
FSAK0,F,DR4,157.5,24.7
MSAS0,M,DR5,193.0,26.2
MSAT0,M,DR2,180.3,25.7
MSAT1,M,DR6,165.1,29.2
FSBK0,F,DR6,157.5,23.7
FSCN0,F,DR2,157.5,26.2
MSDB0,M,DR7,180.3,28.8
FSDC0,F,DR5,165.1,24.6
MSDH0,M,DR5,182.9,24.4
FSDJ0,F,DR6,170.2,23.4
MSDS0,M,DR6,172.7,27.4
FSEM0,F,DR4,152.4,21.3
MSEM1,M,DR5,182.9,39.1
MSES0,M,DR7,172.7,22.6
MSFH0,M,DR4,177.8,26.1
MSFH1,M,DR5,175.3,26.8
MSFV0,M,DR3,190.5,34.8
FSGF0,F,DR6,165.1,43.9
FSJG0,F,DR5,160.0,28.7
MSJK0,M,DR6,170.2,54.7
FSJK1,F,DR1,167.6,25.3
FSJS0,F,DR3,152.4,28.8
MSJS1,M,DR1,175.3,25.6
FSJW0,F,DR3,165.1,46.5
FSKC0,F,DR3,182.9,24.9
FSKL0,F,DR2,167.6,24.3
FSKP0,F,DR5,172.7,24.1
MSLB0,M,DR8,167.6,30.9
FSLB1,F,DR2,172.7,32.4
FSLS0,F,DR3,175.3,23.2
FSMA0,F,DR1,160.0,42.7
MSMC0,M,DR4,172.7,30.2
FSMM0,F,DR5,167.6,30.2
MSMR0,M,DR6,188.0,34.1
MSMS0,M,DR4,175.3,46.5
FSMS1,F,DR5,152.4,24.7
FSPM0,F,DR7,162.6,30.6
MSRG0,M,DR4,172.7,25.9
FSRH0,F,DR2,162.6,23.6
MSRR0,M,DR5,175.3,24.3
FSSB0,F,DR4,165.1,32.8
MSTF0,M,DR4,177.8,26.6
MSTK0,M,DR1,180.3,25.4
MSVS0,M,DR6,188.0,26.6
FSXA0,F,DR7,172.7,26.5
MTAA0,M,DR3,167.6,24.2
MTAB0,M,DR7,188.0,25.5
FTAJ0,F,DR6,165.1,25.7
MTAS0,M,DR4,180.3,26.1
MTAS1,M,DR2,180.3,28.9
MTAT0,M,DR5,190.5,35.5
MTAT1,M,DR2,182.9,23.8
MTBC0,M,DR2,198.1,26.3
FTBR0,F,DR1,162.6,24.5
FTBW0,F,DR5,175.3,22.6
MTCS0,M,DR8,172.7,29.0
MTDB0,M,DR2,188.0,29.6
MTDP0,M,DR5,182.9,23.5
MTDT0,M,DR3,175.3,30.4
MTEB0,M,DR4,167.6,25.9
MTER0,M,DR7,175.3,39.4
MTHC0,M,DR3,177.8,26.8
MTJG0,M,DR2,190.5,24.3
MTJM0,M,DR3,170.2,29.7
MTJS0,M,DR1,177.8,23.8
MTJU0,M,DR6,180.3,26.1
MTKD0,M,DR7,170.2,31.1
MTKP0,M,DR3,182.9,24.1
MTLB0,M,DR3,180.3,26.8
MTLC0,M,DR7,170.2,38.7
FTLG0,F,DR5,167.6,25.8
FTLH0,F,DR7,180.3,31.0
MTLS0,M,DR4,180.3,24.5
FTMG0,F,DR2,162.6,25.7
MTML0,M,DR7,182.9,24.4
MTMN0,M,DR7,185.4,24.2
MTMR0,M,DR2,177.8,29.8
MTMT0,M,DR5,177.8,28.8
MTPF0,M,DR1,175.3,26.4
MTPG0,M,DR3,177.8,28.3
MTPP0,M,DR3,185.4,43.1
MTPR0,M,DR7,177.8,33.6
MTQC0,M,DR4,180.3,30.6
MTRC0,M,DR4,185.4,23.3
MTRR0,M,DR1,180.3,25.7
MTRT0,M,DR4,193.0,27.5
MTWH0,M,DR7,172.7,25.9
MTWH1,M,DR7,185.4,25.8
MTXS0,M,DR6,182.9,30.2
FUTB0,F,DR5,177.8,25.4
FVFB0,F,DR1,157.5,24.0
MVJH0,M,DR3,170.2,45.8
FVKB0,F,DR7,172.7,24.4
MVLO0,M,DR5,172.7,39.3
FVMH0,F,DR1,165.1,26.2
MVRW0,M,DR7,175.3,26.4
MWAC0,M,DR5,167.6,57.0
MWAD0,M,DR1,175.3,25.4
MWAR0,M,DR1,175.3,27.1
MWBT0,M,DR1,182.9,51.8
MWCH0,M,DR5,177.8,25.7
MWDK0,M,DR3,188.0,29.3
MWEM0,M,DR5,157.5,29.0
MWEW0,M,DR2,182.9,27.4
MWGR0,M,DR3,190.5,24.6
MWJG0,M,DR3,182.9,33.1
MWRE0,M,DR7,175.3,34.6
MWRP0,M,DR7,172.7,35.4
MWSB0,M,DR2,172.7,26.7
MWSH0,M,DR5,182.9,22.8
MWVW0,M,DR2,162.6,24.1
MZMB0,M,DR2,177.8,25.4
