feature,within_var,between_var,F_ratio,ANOVA_F,p,q_max,crossrate_q2,crossrate_q3,crossrate_q5,crossrate_q10
VTLE,0.1628241276702552,0.30514665912227357,1.8740874800830758,17.995127219362885,0.0,2,0.19160168290633298,0.3034950078765259,0.42715153130433675,0.565295105603149
Nasality,22.084644372417245,20.413785076184105,0.924342938556893,8.945926528454711,0.0,1,0.21763073810451422,0.33282812588996974,0.457745267956108,0.5844535416287273
SpectralSkewness,2.2048866698414864,0.6578240961351691,0.2983482575920609,2.7522072745125095,2.026062431619953e-235,2,0.19392381446910625,0.30588079891462,0.4284644694875822,0.5658771569735015
SpectralKurtosis,39454581.58684483,6012016.628424503,0.15237816209484434,1.4167857241610997,3.1052750538469153e-25,2,0.19376682934627215,0.2937753413427242,0.42321908987759843,0.564470370883414
SpectralEntropy,0.0008749251536663437,0.001469242350963896,1.6792777585683605,16.357515195826643,0.0,2,0.180797147789862,0.29459269475295613,0.4207318233922675,0.5600944587080713
SpectralRolloff,224195.70627442357,392841.1915600685,1.7522244207443332,16.080997309137366,0.0,2,0.1862761849635095,0.2982553739403016,0.42418858031246126,0.5595472561635276
SpectralFlux,0.0006841549167326529,0.0010502870319195959,1.5351596637432579,15.674283458689988,0.0,2,0.19658579768523277,0.30801564911364376,0.4307037430064423,0.5648974920196514
AlphaRatio,8.00607171929445,15.483299730932421,1.9339446702204806,18.042754124417844,0.0,2,0.17396746525340098,0.2868389462183671,0.4069835438579998,0.5496442756669835
LHR,16.983660988115595,31.25601962212042,1.8403581915578733,17.99299020077499,0.0,2,0.18417673196680717,0.28869575781918255,0.41659190966367177,0.5481579331925934
SPI,10.295669193428758,19.141391132078198,1.8591692072133834,17.772156724719274,0.0,2,0.18725074720460852,0.2949418890237375,0.41616374475787427,0.5525503690973917
GNE,0.00041965335922812476,0.0002020256286748926,0.48141072681148467,4.451051206809807,0.0,1,0.2916944146272651,0.3891062734306094,0.48448728033525373,0.5945276048597048
dCPP,0.0005145784283031598,0.0011240924420839247,2.1844919651813983,22.567223667582237,0.0,2,0.16006902510683071,0.2683394898661912,0.40729621440972286,0.5501587783832007
SpeechRate,0.4012611646382399,0.23721244180696538,0.591167206576859,5.760430754546219,0.0,1,0.26588473391090967,0.3700402400351544,0.47873392395282577,0.5968198779973767
BGD,1.4352087600532955,0.6284732044652749,0.4378967171590682,4.006500447864947,0.0,1,0.2804405339783585,0.37673326683682995,0.4692476336808104,0.5688898560157524
SemitoneSDF0,2.879198959586907,2.06452764517967,0.7170493162014334,7.053757241615383,0.0,1,0.25369156971172757,0.35034077096041677,0.45617794447821824,0.5729023647324473
AMD,0.037557543039077795,0.02277632572097563,0.6064381180972719,6.136752578727342,0.0,1,0.2486448265272836,0.36302754644286217,0.47386731079398575,0.589274991296188
SSPF,1209869.125032928,665516.4838128603,0.5500731195159207,4.847934359410591,0.0,1,0.2459696780866695,0.33521040135762364,0.4244652751984114,0.5279158827403031
RMS,0.00030396040614221137,0.0006840565242863588,2.250479044189443,20.623149046516136,0.0,2,0.14204825062484833,0.24556678265546736,0.3625195271941154,0.50852865558744
