feature,display,group,within_var,between_var,F_ratio_pooled,ANOVA_F,p,q_max_pooled,F_ratio_male,F_ratio_female,q_max_male,q_max_female,q_max_within,crossrate_q2_pooled,crossrate_q3_pooled
Nasality,Nasality,vocal_tract_filter,22.170828247492707,24.61120734461333,1.110071625194995,13.072771583321984,0.0,1,1.0095028618245254,1.1609951553208524,1,1,1,0.20600259114875105,0.31806468046626707
jitter,jitter,glottal_source,3.8011333567245134e-05,4.0265720963985366e-05,1.0593082953207111,12.906581188111462,0.0,1,0.8739964338144351,0.8634825272898699,1,1,1,0.21461327859944876,0.33250732113864623
SemitoneSDF0,semitone_SD_F0,glottal_source,2.796955047815956,2.287433134752745,0.8178297811896981,9.587539055902083,0.0,1,0.8213327049294052,0.5932979934058471,1,1,1,0.25285769592554824,0.3523626916013891
NAQ,NAQ,glottal_source,0.001990107097116236,0.0015924561431862971,0.8001861535461308,9.61113367777329,0.0,1,0.7688135026654297,0.47448832699070176,1,1,1,0.22228892712218445,0.3340705761746504
AMD,AMD,articulatory_prosodic,0.056370929030726456,0.04253866818730442,0.7546206691771498,8.552794833056643,0.0,1,0.6586111426423772,0.66700003285997,1,1,1,0.24418773506963415,0.3592476165434466
SpeechRate,speech_rate,articulatory_prosodic,0.43918584000489147,0.3061984388292691,0.6971956081868641,7.796525818104766,0.0,1,0.6287383074427255,0.6359722434526706,1,1,1,0.2651922348132391,0.3735448454510201
IHI,IHI,glottal_source,4.740929837505346e-05,3.242775713398723e-05,0.6839957190982299,8.39688673439632,0.0,1,0.3821815870281461,0.4040519234754023,1,1,1,0.24122597398255782,0.35493116310576733
SQ,SQ,glottal_source,4.352468413914867,2.7589573503295903,0.6338833709876418,7.401719065524816,0.0,1,0.5715522618067953,0.5864069013146854,1,1,1,0.22479485096000476,0.3352155282939323
MFDR,MFDR,glottal_source,0.004066519902060696,0.002474518607202802,0.6085101430215176,6.866561929892751,0.0,1,0.5769144710626527,0.5711661054532134,1,1,1,0.2626632433310754,0.3649854541416236
SHR,SHR,glottal_source,0.0666425581748897,0.038765196650047615,0.5816883041661804,6.9238231373241135,0.0,1,0.5247157760492182,0.5111375611051087,1,1,1,0.25285337459656954,0.36112427005726644
SSPF,SSPF,spectral_envelope,1196369.0104631644,678475.3311510998,0.5671120910164946,6.018664943677632,0.0,1,0.5048829815882295,0.4908598577352569,1,1,1,0.24075047274122024,0.329473826932988
GNE,GNE,spectral_envelope,0.00043624672500021595,0.000227658924740909,0.5218581864214483,5.911268169613109,0.0,1,0.4820936107564597,0.5005270719358629,1,1,1,0.2851591219995847,0.387529139353823
BGD,BGD,articulatory_prosodic,1.4968576651332246,0.6937738465872204,0.46348685165431047,5.2069221551374545,0.0,1,0.42542391632260207,0.41163294823731494,1,1,1,0.2795178227179921,0.37561404929584136
SpectralSkewness,spectral_skewness,spectral_envelope,2.125409854828824,0.8528563724879173,0.4012667818163497,4.615935742051655,0.0,2,0.42957367324444257,0.3739431114111977,2,2,2,0.177090781830522,0.290509387507718
SpectralKurtosis,spectral_kurtosis,spectral_envelope,32016058.689668205,5726691.274101873,0.1788693395901949,1.7974356042610462,0.0,2,0.19122521429730518,0.15539260829831425,2,2,2,0.1721181386029478,0.28234461304917163
